order_id,stock_tick,stock_id,country_id,time_frame,order_type,entry_price,stoploss_price,target_price,stock_quantity,purchased_cmp_date,purchased_on,order_status,is_trade_started,is_evaluated,entry_timestamp,completed_on,lstm_rf_model_prediction,lstm_rf_model_prob,arima_ab_model_prediction,arima_ab_model_prob
1621339,ambuja_cement,791,1,2,SELL,443.434,452.959,422.8,100,2026-06-15T15:29,"2026-07-13 16:30:15","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621340,adani_green,627,1,2,SELL,1527.51,1577.15,1417.02,100,2026-06-15T15:29,"2026-07-13 16:30:15","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621341,cg_power_inds,801,1,2,BUY,882.071,872.132,907.489,100,2026-06-15T15:29,"2026-07-13 16:30:25","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621342,dr_reddys_laboratories,662,1,2,SELL,1300.35,1324.82,1218.41,100,2026-06-15T15:29,"2026-07-13 16:30:28","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621343,eternal,773,1,2,BUY,238.607,233.971,249.821,100,2026-06-15T15:29,"2026-07-13 16:30:30","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621344,godrej_consumer,665,1,2,SELL,1095.4,1124.03,1010,100,2026-06-15T15:29,"2026-07-13 16:30:31","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621345,grasim_industries,666,1,2,BUY,3021,2956.05,3167.3,100,2026-06-15T15:29,"2026-07-13 16:30:33","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621346,grasim_industries,666,1,2,SELL,3170.24,3202.85,3095.82,100,2026-06-15T15:29,"2026-07-13 16:30:33","{'status': 'pending', 'reason': 'Still active', 'entry_hit': True, 'current_difference': 4944.0, 'current_pct_change': 1.56}",1,0,"2026-06-16 09:15:00",NULL,NULL,NULL,NULL,NULL
1621347,hdfc_life,674,1,2,BUY,561.841,552.756,592,100,2026-06-15T15:29,"2026-07-13 16:30:33","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621348,hero_motocorp,675,1,2,BUY,4908.85,4858.45,5047.12,100,2026-06-15T15:29,"2026-07-13 16:30:35","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621349,hdfcbank,1,1,2,BUY,736.653,725.106,800.253,100,2026-06-15T15:29,"2026-07-13 16:30:36","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621350,hyundai_motor_india,787,1,2,SELL,2118.17,2156.92,2013.7,100,2026-06-15T15:29,"2026-07-13 16:30:36","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621351,hindustan_aeronautics,677,1,2,BUY,4153.22,4081.02,4470.08,100,2026-06-15T15:29,"2026-07-13 16:30:38","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621352,infy,4,1,2,BUY,1103.25,1086.69,1167.3,100,2026-06-15T15:29,"2026-07-13 16:30:41","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621353,jio_financial_service,775,1,2,SELL,246.08,251.16,236,100,2026-06-15T15:29,"2026-07-13 16:30:43","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621354,itc,5,1,2,BUY,280.17,276.635,292.976,100,2026-06-15T15:29,"2026-07-13 16:30:43","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621355,jindal_steel_power,804,1,2,BUY,1097.8,1076.01,1186.91,100,2026-06-15T15:29,"2026-07-13 16:30:44","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621356,kotak_bank,698,1,2,BUY,391.236,383.74,414.45,100,2026-06-15T15:29,"2026-07-13 16:30:46","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621357,maruti_suzuki,706,1,2,BUY,13540.3,13101.7,15081.9,100,2026-06-15T15:29,"2026-07-13 16:30:48","{'status': 'pending', 'reason': 'Still active', 'entry_hit': True, 'current_difference': -6930.0, 'current_pct_change': -0.51}",1,0,"2026-06-18 11:15:00",NULL,NULL,NULL,NULL,NULL
1621358,pidilite_industries,785,1,2,SELL,1594.11,1611.11,1519.05,100,2026-06-15T15:29,"2026-07-13 16:30:50","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621359,power_grid_corporation,719,1,2,BUY,270.25,266.384,295.65,100,2026-06-15T15:29,"2026-07-13 16:30:52","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621360,recl,799,1,2,BUY,340.41,335.023,358.2,100,2026-06-15T15:29,"2026-07-13 16:30:52","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621361,titan,768,1,2,BUY,4037.05,3953.54,4362.38,100,2026-06-15T15:29,"2026-07-13 16:31:01","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621362,trent,774,1,2,BUY,2757.5,2712.19,3870.75,100,2026-06-15T15:29,"2026-07-13 16:31:03","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621363,axis_bank,637,1,6,SELL,1398.29,1419.83,1334,100,2026-06-15T15:29,"2026-07-13 16:31:22","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
