id,stock_tick,y_finance,is_active,index_id,kite_symbol,kite_token,fyers_symbol,is_proc
973,newgen_software_technologies,NEWGEN.NS,1,NULL,NEWGEN,297985,NSE:NEWGEN-EQ,0
974,hbl_engineering,HBLENGINE.NS,1,NULL,HBLENGINE,3575297,NSE:HBLENGINE-EQ,0
975,natco_pharma,NATCOPHARM.NS,1,NULL,NATCOPHARM,1003009,NSE:NATCOPHARM-EQ,0
977,afcons_infrastructure,AFCONS.NS,1,NULL,AFCONS,6650113,NSE:AFCONS-EQ,0
978,data_patterns,DATAPATTNS.NS,1,NULL,DATAPATTNS,1883649,NSE:DATAPATTNS-EQ,0
981,trident,TRIDENT.NS,1,NULL,TRIDENT,2479361,NSE:TRIDENT-EQ,0
982,bata_india,BATAINDIA.NS,1,NULL,BATAINDIA,94977,NSE:BATAINDIA-EQ,0
983,bls_international_services,BLS.NS,1,NULL,BLS,4423425,NSE:BLS-EQ,0
986,pcbl_chemical,PCBL.NS,1,NULL,PCBL,678145,NSE:PCBL-EQ,0
987,tata_tele,TTML.NS,1,NULL,TTML-BE,2293249,NSE:TTML-EQ,0
988,indiamart_intermesh,INDIAMART.NS,1,NULL,INDIAMART,2745857,NSE:INDIAMART-EQ,1
990,action_construction_equipment,ACE.NS,1,NULL,ACE,3478273,NSE:ACE-EQ,0
991,great_eastern_shipping_company,GESHIP.NS,1,NULL,GESHIP,3526657,NSE:GESHIP-EQ,0
992,rites,RITES.NS,1,NULL,RITES,962817,NSE:RITES-EQ,0
993,railtel_corporation_of_india,RAILTEL.NS,1,NULL,RAILTEL,622337,NSE:RAILTEL-EQ,0
994,swan_energy,SWANENERGY.NS,0,NULL,SWANENERGY,6936321,NSE:SWANENERGY-EQ,0
996,welspun_living,WELSPUNLIV.NS,1,NULL,WELSPUNLIV,2880769,NSE:WELSPUNLIV-EQ,1
997,tejas_networks,TEJASNET.NS,1,NULL,TEJASNET,5409537,NSE:TEJASNET-EQ,1
999,ramkrishna_forgings,RKFORGE.NS,1,NULL,RKFORGE,2921217,NSE:RKFORGE-EQ,0
1000,sonata_software,SONATSOFTW.NS,1,NULL,SONATSOFTW,1688577,NSE:SONATSOFTW-EQ,0
1001,pvr_inox,PVRINOX.NS,1,NULL,PVRINOX,3365633,NSE:PVRINOX-EQ,0
1013,renuka,RENUKA.NS,1,NULL,RENUKA,3078657,NSE:RENUKA-EQ,1
1014,tarsons,TARSONS.NS,1,NULL,TARSONS,1777409,NSE:TARSONS-EQ,1
1015,MASTEK,MASTEK.NS,0,NULL,MASTEK,543745,NSE:MASTEK-EQ,1
1016,gokul_agro_resources_ltd,GOKULAGRO.NS,1,NULL,GOKULAGRO,3706881,NSE:GOKULAGRO-EQ,1
1017,endurance_techno_ltd,ENDURANCE.NS,1,NULL,ENDURANCE,4818433,NSE:ENDURANCE-EQ,1
1018,share_ind_securities_ltd,SHAREINDIA.NS,1,NULL,SHAREINDIA,26625,NSE:SHAREINDIA-EQ,1
1019,aaron_industries_limited,AARON.NS,1,NULL,AARON,263681,NSE:AARON-EQ,1
1020,popular_vehicles_n_ser_l,PVSL.NS,0,NULL,PVSL,5924353,NSE:PVSL-EQ,1
1023,waaree_energies_limited,WAAREEENER.NS,1,NULL,WAAREEENER,6632193,NSE:WAAREEENER-EQ,1
1024,lodha_developers_limited,LODHA.NS,1,NULL,LODHA,824321,NSE:LODHA-EQ,1
1025,epl_limited,EPL.NS,1,NULL,EPL,251137,NSE:EPL-EQ,1
1026,gabriel_india_ltd,GABRIEL.NS,1,NULL,GABRIEL,277761,NSE:GABRIEL-EQ,1
1028,deepak_fertilizers__petr,DEEPAKFERT.NS,1,NULL,DEEPAKFERT,211713,NSE:DEEPAKFERT-EQ,1
1029,aeroflex_neu_limited,AERONEU.NS,1,NULL,AERONEU,3504385,NSE:AERONEU-EQ,1
1030,sharda_cropchem_ltd,SHARDACROP.NS,1,NULL,SHARDACROP,1277953,NSE:SHARDACROP-EQ,1
1031,rama_phosphates_limited,RAMAPHO.NS,1,NULL,RAMAPHO,2705409,NSE:RAMAPHO-EQ,1
1032,jaiprakash_power_ven_ltd,JPPOWER.NS,1,NULL,JPPOWER,3011329,NSE:JPPOWER-EQ,1
1033,dolphin_off_ent_ind_l,DOLPHIN.NS,1,NULL,DOLPHIN,4643585,NSE:DOLPHIN-EQ,1
1034,bank_of_maharashtra,MAHABANK.NS,1,NULL,MAHABANK,2912513,NSE:MAHABANK-EQ,1
1035,nelco_ltd,NELCO.NS,1,NULL,NELCO,611329,NSE:NELCO-EQ,1
1038,thyrocare_tech_ltd,THYROCARE.NS,1,NULL,THYROCARE,4360193,NSE:THYROCARE-EQ,1
1039,city_union_bank_ltd,CUB.NS,1,NULL,CUB,1459457,NSE:CUB-EQ,1
1040,orient_ceratech_limited,ORIENTCER.NS,1,NULL,ORIENTCER,3356417,NSE:ORIENTCER-EQ,1
1041,eid_parry_india_ltd,EIDPARRY.NS,1,NULL,EIDPARRY,234497,NSE:EIDPARRY-EQ,1
1042,jyothy_labs_limited,JYOTHYLAB.NS,1,NULL,JYOTHYLAB,3877377,NSE:JYOTHYLAB-EQ,1
1043,ujjivan_small_financ_bank,UJJIVANSFB.NS,1,NULL,UJJIVANSFB,3898369,NSE:UJJIVANSFB-EQ,1
1044,bharat_coking_coal_ltd,BHARATCOAL.NS,1,NULL,BHARATCOAL,194745857,NSE:BHARATCOAL-EQ,1
1045,mazagon_dock_shipbuil_ltd,MAZDOCK.NS,1,NULL,MAZDOCK,130305,NSE:MAZDOCK-EQ,1
1046,jk_tyre__industries_ltd,JKTYRE.NS,1,NULL,JKTYRE,3695361,NSE:JKTYRE-EQ,1
1047,anand_rathi_wealth_ltd,ANANDRATHI.NS,1,NULL,ANANDRATHI,1829121,NSE:ANANDRATHI-EQ,1
1048,chennai_petroleum_corp_lt,CHENNPETRO.NS,1,NULL,CHENNPETRO,524545,NSE:CHENNPETRO-EQ,1
1049,ipca_laboratories_ltd,IPCALAB.NS,1,NULL,IPCALAB,418049,NSE:IPCALAB-EQ,1
1050,gulf_oil_lub_ind_ltd,GULFOILLUB.NS,1,NULL,GULFOILLUB,1124097,NSE:GULFOILLUB-EQ,1
1051,mankind_pharma_limited,MANKIND.NS,1,NULL,MANKIND,3937281,NSE:MANKIND-EQ,1
